tweet,sentiment, predicted_sentiment
"Just had the best day ever!",Positive
"Absolutely love the new song!",Positive
"Enjoying a relaxing weekend.",Positive
"Can't wait for the vacation!",Positive
"Just another ordinary day.",Positive
"Loved the surprise gift!",Positive
"It's a nice sunny day!",Positive
"Had a wonderful time with friends!",Positive
"Amazing performance!",Positive
"Absolutely loved the movie!",Positive
"Loving the new book!",Positive
"Thrilled to be a part of the event!",Positive
"Feeling blessed and grateful.",Positive
"Absolutely impressed with the service!",Positive
"Loving the new album!",Positive
"Finally, the weekend is here!",Positive
"Feeling a bit down today.",Positive
"Had a great time with family!",Positive
"The concert was fantastic!",Positive
"Excited for the weekend!",Positive
"Enjoying the sunny weather.",Positive
"Feeling stressed and overwhelmed.",Positive
"Absolutely blown away by the performance!",Positive
"Loving the new fashion collection!",Positive
"Excited to meet old friends!",Positive
"So happy to see old friends again!",Positive
