tweet,sentiment,predicted_sentiment
"Just had the best day ever!",Positive,
"This movie is so disappointing.",Negative,
"Feeling neutral today.",Neutral,
"Absolutely love the new song!",Positive,
"My computer crashed again!",Negative,
"Not sure how I feel about this.",Neutral,
"Enjoying a relaxing weekend.",Positive,
"The service was terrible!",Negative,
"Can't wait for the vacation!",Positive,
"The traffic is insane today.",Negative,
"Just another ordinary day.",Neutral,
"Loved the surprise gift!",Positive,
"Disappointed with the service.",Negative,
"It's a nice sunny day!",Positive,
"Feeling a bit down today.",Negative,
"Can't decide what to do.",Neutral,
"Finally, the weekend is here!",Positive,
"The food was terrible.",Negative,
"Excited about the upcoming event!",Positive,
"Feeling annoyed with the traffic.",Negative,
"Just taking it easy today.",Neutral,
"Loving the new book!",Positive,
"Displeased with the customer service.",Negative,
"Not sure what to say.",Neutral,
"Had a wonderful time with friends!",Positive,
"The weather is terrible today.",Negative,
"Feeling indifferent about it.",Neutral,
"Amazing performance!",Positive,
"Utterly disappointed with the results.",Negative,
"Not sure how I feel about this product.",Neutral,
"Thrilled to be a part of the event!",Positive,
"So upset about the delays.",Negative,
"No strong feelings about it.",Neutral,
"Absolutely loved the movie!",Positive,
"Extremely unhappy with the service.",Negative,
"Feeling neutral about the decision.",Neutral,
"This dish is heavenly!",Positive,
"Disappointed with the quality.",Negative,
"Not sure how I feel about this event.",Neutral,
"Can't wait for the weekend!",Positive,
"The experience was awful.",Negative,
"No particular feelings about it.",Neutral,
"Loving the new album!",Positive,
"So disappointed with the results.",Negative,
"Feeling neutral about the meeting.",Neutral,
"The beach was amazing!",Positive,
"Can't stand this traffic.",Negative,
"No strong opinions about it.",Neutral,
"Absolutely impressed with the service!",Positive,
"Really frustrated with the situation.",Negative,
"Feeling neutral about the news.",Neutral,
"This dish is absolutely delicious!",Positive,
"Disappointed with the customer support.",Negative,
"Not sure what to do next.",Neutral,
"Had a great time with family!",Positive,
"The concert was fantastic!",Positive,
"Feeling down and lonely.",Negative,
"Excited for the weekend!",Positive,
"The movie made me cry.",Negative,
"Just another typical Monday.",Neutral,
"Feeling blessed and grateful.",Positive,
"Annoyed with the slow internet.",Negative,
"Thrilled about the new job offer!",Positive,
"The traffic is unbearable.",Negative,
"Not sure how I feel about this.",Neutral,
"Enjoying the sunny weather.",Positive,
"Feeling stressed and overwhelmed.",Negative,
"Absolutely blown away by the performance!",Positive,
"Disappointed with the lack of communication.",Negative,
"Loving the new fashion collection!",Positive,
"Feeling nervous about the presentation.",Negative,
"Excited to meet old friends!",Positive,
"The customer service was exceptional!",Positive,
"Feeling confused and lost.",Negative,
"So grateful for all the love and support.",Positive,
"Annoyed with the noisy neighbors.",Negative,
"Thrilled about the upcoming vacation!",Positive,
"The news is so depressing.",Negative,
"Not sure what to do with my life.",Neutral,
"Enjoying the beautiful sunset.",Positive,
"Feeling exhausted after a long day.",Negative,
"Absolutely in love with the new car!",Positive,
"Disappointed with the lack of progress.",Negative,
"Loving the new art exhibition!",Positive,
"Feeling anxious about the interview.",Negative,
"So happy to see old friends again!",Positive,
